date,measurement_id,metric_value,goal,projection
2024-01-01,1,20.75,50.0,10.47
2024-01-01,2,19.79,50.0,10.47
2024-01-01,3,20.97,50.0,10.47
2024-01-01,4,22.28,50.0,10.47
2024-02-01,1,20.75,50.0,12.53
2024-02-01,2,20.75,50.0,12.53
2024-02-01,3,23.47,50.0,12.53
2024-02-01,4,22.25,50.0,12.53
2024-03-01,1,21.5,50.0,14.6
2024-03-01,2,23.01,50.0,14.6
2024-03-01,3,21.5,50.0,14.6
2024-03-01,4,21.5,50.0,14.6
2024-04-01,1,23.66,50.0,16.67
2024-04-01,2,20.43,50.0,16.67
2024-04-01,3,20.71,50.0,16.67
2024-04-01,4,22.46,50.0,16.67
2024-05-01,1,22.88,50.0,18.73
2024-05-01,2,24.87,50.0,18.73
2024-05-01,3,23.04,50.0,18.73
2024-05-01,4,22.28,50.0,18.73
2024-06-01,1,27.7,50.0,20.8
2024-06-01,2,25.16,50.0,20.8
2024-06-01,3,25.6,50.0,20.8
2024-06-01,4,23.36,50.0,20.8
2024-07-01,1,25.78,50.0,22.87
2024-07-01,2,26.77,50.0,22.87
2024-07-01,3,24.87,50.0,22.87
2024-07-01,4,27.16,50.0,22.87
2024-08-01,1,26.8,50.0,24.93
2024-08-01,2,27.26,50.0,24.93
2024-08-01,3,26.8,50.0,24.93
2024-08-01,4,30.48,50.0,24.93
2024-09-01,1,28.78,50.0,27.0
2024-09-01,2,27.21,50.0,27.0
2024-09-01,3,30.03,50.0,27.0
2024-09-01,4,26.97,50.0,27.0
2024-10-01,1,30.21,50.0,29.07
2024-10-01,2,26.96,50.0,29.07
2024-10-01,3,27.91,50.0,29.07
2024-10-01,4,30.2,50.0,29.07
2024-11-01,1,32.11,50.0,31.13
2024-11-01,2,31.26,50.0,31.13
2024-11-01,3,30.83,50.0,31.13
2024-11-01,4,30.55,50.0,31.13
2024-12-01,1,29.88,50.0,33.2
2024-12-01,2,31.02,50.0,33.2
2024-12-01,3,31.41,50.0,33.2
2024-12-01,4,33.69,50.0,33.2
2025-01-01,1,33.72,50.0,35.27
2025-01-01,2,30.56,50.0,35.27
2025-01-01,3,33.69,50.0,35.27
2025-01-01,4,32.62,50.0,35.27
2025-02-01,1,33.28,50.0,37.33
2025-02-01,2,35.22,50.0,37.33
2025-02-01,3,35.85,50.0,37.33
2025-02-01,4,35.7,50.0,37.33
2025-03-01,1,34.14,50.0,39.4
2025-03-01,2,34.94,50.0,39.4
2025-03-01,3,35.9,50.0,39.4
2025-03-01,4,36.86,50.0,39.4
2025-04-01,1,35.78,50.0,41.47
2025-04-01,2,36.22,50.0,41.47
2025-04-01,3,34.84,50.0,41.47
2025-04-01,4,34.71,50.0,41.47
2025-05-01,1,38.82,50.0,43.53
2025-05-01,2,39.63,50.0,43.53
2025-05-01,3,37.49,50.0,43.53
2025-05-01,4,39.11,50.0,43.53
2025-06-01,1,39.24,50.0,45.6
2025-06-01,2,37.73,50.0,45.6
2025-06-01,3,39.24,50.0,45.6
2025-06-01,4,41.01,50.0,45.6
2025-07-01,1,39.75,50.0,47.67
2025-07-01,2,42.15,50.0,47.67
2025-07-01,3,35.87,50.0,47.67
2025-07-01,4,41.03,50.0,47.67
2025-08-01,1,41.03,50.0,49.73
2025-08-01,2,40.45,50.0,49.73
2025-08-01,3,41.04,50.0,49.73
2025-08-01,4,37.92,50.0,49.73
2025-09-01,1,41.67,50.0,51.8
2025-09-01,2,42.54,50.0,51.8
2025-09-01,3,44.22,50.0,51.8
2025-09-01,4,41.22,50.0,51.8
2025-10-01,1,41.89,50.0,53.87
2025-10-01,2,42.35,50.0,53.87
2025-10-01,3,44.47,50.0,53.87
2025-10-01,4,43.59,50.0,53.87
2025-11-01,1,43.41,50.0,55.93
2025-11-01,2,44.97,50.0,55.93
2025-11-01,3,44.35,50.0,55.93
2025-11-01,4,45.65,50.0,55.93
2025-12-01,1,44.25,50.0,58.0
2025-12-01,2,44.81,50.0,58.0
2025-12-01,3,44.71,50.0,58.0
2025-12-01,4,43.1,50.0,58.0
